timestamp,sequence,exchange_timestamp,bid_price_0,bid_size_0,ask_price_0,ask_size_0,bid_price_1,bid_size_1,ask_price_1,ask_size_1,bid_price_2,bid_size_2,ask_price_2,ask_size_2,bid_price_3,bid_size_3,ask_price_3,ask_size_3,bid_price_4,bid_size_4,ask_price_4,ask_size_4,bid_price_5,bid_size_5,ask_price_5,ask_size_5,bid_price_6,bid_size_6,ask_price_6,ask_size_6,bid_price_7,bid_size_7,ask_price_7,ask_size_7,bid_price_8,bid_size_8,ask_price_8,ask_size_8,bid_price_9,bid_size_9,ask_price_9,ask_size_9,bid_price_10,bid_size_10,ask_price_10,ask_size_10,bid_price_11,bid_size_11,ask_price_11,ask_size_11,bid_price_12,bid_size_12,ask_price_12,ask_size_12,bid_price_13,bid_size_13,ask_price_13,ask_size_13,bid_price_14,bid_size_14,ask_price_14,ask_size_14,bid_price_15,bid_size_15,ask_price_15,ask_size_15,bid_price_16,bid_size_16,ask_price_16,ask_size_16,bid_price_17,bid_size_17,ask_price_17,ask_size_17,bid_price_18,bid_size_18,ask_price_18,ask_size_18,bid_price_19,bid_size_19,ask_price_19,ask_size_19
1757015216.8731272,1757015216253,1757015216253,202.22,2054.51,202.23,95.1,202.21,34.79,202.24,1.48,202.2,422.04,202.25,494.08,202.19,213.29,202.26,235.01,202.18,715.22,202.27,1382.86,202.17,1010.7,202.28,1104.63,202.16,2404.76,202.29,935.4,202.15,1594.78,202.3,2091.02,202.14,1239.26,202.31,3111.35,202.13,1725.08,202.32,2032.66,202.12,1091.39,202.33,3184.45,202.11,4263.73,202.34,813.83,202.1,2251.59,202.35,1005.89,202.09,879.71,202.36,772.58,202.08,683.27,202.37,3570.02,202.07,1886.77,202.38,1346.81,202.06,2648.14,202.39,174.8,202.05,747.74,202.4,433.46,202.04,3056.01,202.41,1007.72,202.03,2160.69,202.42,1919.24
1757015217.176922,1757015216728,1757015216728,202.22,2054.51,202.23,95.1,202.21,10.01,202.24,138.58,202.2,261.75,202.25,515.96,202.19,220.84,202.26,659.89,202.18,925.77,202.27,2441.25,202.17,567.34,202.28,1409.97,202.16,2404.98,202.29,1452.54,202.15,1654.13,202.3,2140.91,202.14,1239.26,202.31,3510.08,202.13,1560.53,202.32,2032.66,202.12,1916.09,202.33,4020.45,202.11,4067.97,202.34,1307.99,202.1,2304.85,202.35,569.68,202.09,740.66,202.36,772.58,202.08,743.43,202.37,3570.02,202.07,1886.77,202.38,1309.3,202.06,2653.14,202.39,174.8,202.05,1839.49,202.4,855.01,202.04,3056.01,202.41,1007.72,202.03,2160.69,202.42,1919.24
1757015217.7059793,1757015217361,1757015217361,202.22,1301.95,202.23,479.32,202.21,5.92,202.24,310.02,202.2,87.11,202.25,515.96,202.19,295.65,202.26,661.27,202.18,955.44,202.27,2649.59,202.17,539.05,202.28,1655.77,202.16,2404.98,202.29,1457.48,202.15,2063.12,202.3,2359.51,202.14,1813.69,202.31,3318.72,202.13,1669.39,202.32,2032.66,202.12,2119.67,202.33,4947.67,202.11,4067.97,202.34,1322.84,202.1,2304.85,202.35,569.68,202.09,740.66,202.36,772.58,202.08,743.43,202.37,2794.88,202.07,3104.82,202.38,3639.33,202.06,2653.14,202.39,174.8,202.05,1839.49,202.4,371.82,202.04,952.47,202.41,1007.72,202.03,2160.69,202.42,1919.24
1757015218.1564198,1757015217788,1757015217788,202.22,894.11,202.23,334.87,202.21,5.92,202.24,365.9,202.2,680.5,202.25,21.88,202.19,296.59,202.26,651.39,202.18,524.02,202.27,2919.61,202.17,1199.59,202.28,1657.24,202.16,2404.98,202.29,1457.48,202.15,2003.77,202.3,1766.41,202.14,1529.28,202.31,3318.72,202.13,1674.34,202.32,3177.02,202.12,2119.67,202.33,4947.67,202.11,4067.97,202.34,1322.84,202.1,2453.22,202.35,569.68,202.09,740.66,202.36,772.58,202.08,1331.92,202.37,2794.88,202.07,3104.82,202.38,3540.52,202.06,3152.72,202.39,325.18,202.05,1253.65,202.4,371.82,202.04,952.47,202.41,1012.67,202.03,2165.64,202.42,1919.24
1757015218.6635401,1757015218348,1757015218348,202.22,894.11,202.23,359.59,202.21,131.62,202.24,367.38,202.2,728.97,202.25,56.36,202.19,201.31,202.26,1442.09,202.18,524.02,202.27,2462.79,202.17,1199.59,202.28,1655.77,202.16,2404.98,202.29,1457.48,202.15,2003.77,202.3,1546.34,202.14,1529.28,202.31,3289.07,202.13,1674.34,202.32,3177.02,202.12,2129.57,202.33,4947.67,202.11,4067.97,202.34,1382.14,202.1,2453.22,202.35,1167.07,202.09,740.66,202.36,772.58,202.08,1331.92,202.37,2794.88,202.07,3104.82,202.38,3577.79,202.06,3152.72,202.39,325.18,202.05,1253.65,202.4,371.82,202.04,977.16,202.41,1012.67,202.03,2165.64,202.42,1919.24
1757015219.3046277,1757015218875,1757015218875,202.22,3208.95,202.23,10.0,202.21,2679.59,202.24,2.62,202.2,365.4,202.26,25.97,202.19,715.44,202.27,386.95,202.18,1263.2,202.28,507.96,202.17,2422.79,202.29,835.17,202.16,3194.62,202.3,2114.2,202.15,1691.33,202.31,4436.15,202.14,892.18,202.32,2583.97,202.13,1503.72,202.33,3720.02,202.12,2136.12,202.34,846.61,202.11,4692.14,202.35,1755.64,202.1,2453.22,202.36,831.87,202.09,371.68,202.37,3178.64,202.08,284.71,202.38,3615.9,202.07,1886.77,202.39,174.8,202.06,2670.41,202.4,371.82,202.05,757.63,202.41,1017.62,202.04,977.16,202.42,1919.24,202.03,2165.64,202.43,1221.62
1757015219.9698544,1757015219390,1757015219390,202.22,3183.95,202.23,9.51,202.21,2692.35,202.24,1.14,202.2,359.0,202.26,19.29,202.19,836.69,202.27,386.95,202.18,1256.49,202.28,681.48,202.17,2436.44,202.29,994.97,202.16,3194.62,202.3,2471.4,202.15,1705.17,202.31,4700.44,202.14,863.4,202.32,2583.97,202.13,1538.43,202.33,3578.04,202.12,2131.17,202.34,846.61,202.11,4692.14,202.35,1755.64,202.1,2453.22,202.36,831.87,202.09,181.37,202.37,3660.95,202.08,284.71,202.38,3133.59,202.07,1403.15,202.39,174.8,202.06,2670.41,202.4,371.82,202.05,770.12,202.41,1017.62,202.04,977.16,202.42,1919.24,202.03,2165.64,202.43,1221.62
1757015220.5211666,1757015220005,1757015220005,202.22,3532.43,202.23,9.51,202.21,2686.43,202.26,19.29,202.2,381.43,202.27,388.43,202.19,617.62,202.28,36.91,202.18,1391.75,202.29,646.47,202.17,2456.44,202.3,2459.59,202.16,3199.57,202.31,4912.24,202.15,1440.26,202.32,2037.6,202.14,863.4,202.33,3563.22,202.13,1538.43,202.34,816.96,202.12,2621.58,202.35,1755.64,202.11,4209.83,202.36,772.58,202.1,2453.22,202.37,4803.72,202.09,181.37,202.38,3946.92,202.08,284.71,202.39,707.76,202.07,1403.15,202.4,371.82,202.06,2670.41,202.41,1017.62,202.05,770.12,202.42,1919.24,202.04,963.16,202.43,1221.62,202.03,2165.64,202.44,3298.14
1757015221.0864475,1757015220550,1757015220550,202.22,6079.69,202.23,9.51,202.21,3500.53,202.28,1.38,202.2,1569.82,202.29,33.59,202.19,822.35,202.3,58.05,202.18,1728.92,202.31,82.35,202.17,1965.86,202.32,1006.35,202.16,2892.83,202.33,4325.31,202.15,471.7,202.34,1014.93,202.14,771.99,202.35,805.71,202.13,1235.11,202.36,1165.68,202.12,2131.89,202.37,4344.76,202.11,2786.12,202.38,2233.2,202.1,1580.33,202.39,1656.81,202.09,181.37,202.4,371.82,202.08,349.0,202.41,1149.73,202.07,1378.4,202.42,1978.18,202.06,794.43,202.43,1221.62,202.05,667.16,202.44,1473.41,202.04,1691.51,202.45,2604.94,202.03,2165.64,202.46,932.73
1757015221.6575246,1757015221096,1757015221096,202.29,109.4,202.3,12.54,202.28,651.22,202.31,5.32,202.27,512.3,202.32,1148.83,202.26,501.8,202.33,4337.99,202.25,459.67,202.34,1668.5,202.24,485.23,202.35,594.2,202.23,400.31,202.36,1647.99,202.22,6318.18,202.37,1739.0,202.21,4149.06,202.38,1794.36,202.2,1762.65,202.39,1656.81,202.19,827.96,202.4,861.68,202.18,1451.24,202.41,2042.33,202.17,1957.15,202.42,2727.92,202.16,2972.25,202.43,1086.09,202.15,1679.39,202.44,1577.13,202.14,801.99,202.45,2604.94,202.13,1539.96,202.46,937.67,202.12,1297.05,202.47,2728.59,202.11,2441.06,202.48,250.71,202.1,3128.62,202.49,769.24
1757015221.9896698,1757015221613,1757015221613,202.29,3983.49,202.3,0.54,202.28,3305.26,202.31,324.74,202.27,888.65,202.32,34.15,202.26,875.98,202.33,12.64,202.25,144.42,202.34,383.83,202.24,644.36,202.35,418.22,202.23,646.16,202.36,1287.38,202.22,3485.93,202.37,3216.31,202.21,3612.27,202.38,1158.68,202.2,1293.2,202.39,1071.93,202.19,1648.24,202.4,607.57,202.18,725.2,202.41,2556.63,202.17,1487.78,202.42,2528.88,202.16,3395.67,202.43,1188.17,202.15,1008.92,202.44,2788.53,202.14,697.61,202.45,2604.94,202.13,982.9,202.46,972.6,202.12,1015.54,202.47,2813.02,202.11,3077.83,202.48,171.38,202.1,1296.86,202.49,2582.64
