timestamp,price,size,side,exchange_timestamp
1757015217.1774464,202.22,2054.67,bid,1757015216872
1757015217.1774464,202.23,95.1,ask,1757015216872
1757015217.6704783,202.22,1301.95,bid,1757015217237
1757015217.6704783,202.23,479.32,ask,1757015217237
1757015217.8316593,202.22,844.66,bid,1757015217477
1757015217.8316593,202.23,419.97,ask,1757015217477
1757015217.9937594,202.22,844.66,bid,1757015217641
1757015217.9937594,202.23,359.59,ask,1757015217641
1757015218.023987,202.22,844.66,bid,1757015217721
1757015218.023987,202.23,334.87,ask,1757015217721
1757015218.0906541,202.22,894.11,bid,1757015217788
1757015218.0906541,202.23,334.87,ask,1757015217788
1757015218.1863108,202.22,894.11,bid,1757015217870
1757015218.1863108,202.23,359.59,ask,1757015217870
1757015218.7005296,202.22,1566.22,bid,1757015218421
1757015218.7005296,202.23,334.87,ask,1757015218421
1757015218.8120785,202.22,3132.58,bid,1757015218483
1757015218.8120785,202.23,10.0,ask,1757015218483
1757015219.0492659,202.22,3169.72,bid,1757015218672
1757015219.0492659,202.23,10.0,ask,1757015218672
1757015219.2344947,202.22,3208.95,bid,1757015218875
1757015219.2344947,202.23,10.0,ask,1757015218875
1757015219.5028787,202.22,3208.95,bid,1757015219086
1757015219.5028787,202.23,9.95,ask,1757015219086
1757015219.5731497,202.22,3183.95,bid,1757015219286
1757015219.5731497,202.23,9.73,ask,1757015219286
1757015219.9688115,202.22,3183.95,bid,1757015219390
1757015219.9688115,202.23,9.51,ask,1757015219390
1757015220.2937891,202.22,3197.49,bid,1757015219488
1757015220.2937891,202.23,9.51,ask,1757015219488
1757015220.294303,202.22,3235.77,bid,1757015219736
1757015220.294303,202.23,9.51,ask,1757015219736
1757015220.5115337,202.22,3532.43,bid,1757015220005
1757015220.5115337,202.23,9.51,ask,1757015220005
1757015220.619787,202.22,4916.26,bid,1757015220144
1757015220.619787,202.23,9.51,ask,1757015220144
1757015220.7130532,202.22,5340.37,bid,1757015220266
1757015220.7130532,202.23,9.51,ask,1757015220266
1757015220.7363307,202.22,5862.38,bid,1757015220445
1757015220.7363307,202.23,9.51,ask,1757015220445
1757015221.0344946,202.22,6079.69,bid,1757015220550
1757015221.0344946,202.23,9.51,ask,1757015220550
1757015221.1480856,202.22,6167.4,bid,1757015220604
1757015221.1480856,202.23,9.51,ask,1757015220604
1757015221.1480856,202.22,6159.82,bid,1757015220695
1757015221.1480856,202.23,9.51,ask,1757015220695
1757015221.1764343,202.22,6173.43,bid,1757015220780
1757015221.1764343,202.29,6.59,ask,1757015220780
1757015221.1871867,202.28,320.44,bid,1757015220847
1757015221.1871867,202.29,6.59,ask,1757015220847
1757015221.3352463,202.28,464.84,bid,1757015220995
1757015221.3352463,202.3,12.54,ask,1757015220995
1757015221.5524602,202.29,109.4,bid,1757015221096
1757015221.5524602,202.3,12.54,ask,1757015221096
1757015221.7207818,202.29,473.81,bid,1757015221220
1757015221.7207818,202.3,0.54,ask,1757015221220
1757015221.7366633,202.29,624.22,bid,1757015221298
1757015221.7366633,202.3,0.54,ask,1757015221298
1757015221.7636278,202.29,3097.52,bid,1757015221421
1757015221.7636278,202.3,0.54,ask,1757015221421
1757015221.7827983,202.29,3498.76,bid,1757015221571
1757015221.7827983,202.3,0.54,ask,1757015221571
1757015221.9067783,202.29,3983.49,bid,1757015221613
1757015221.9067783,202.3,0.54,ask,1757015221613
1757015221.990678,202.29,3907.13,bid,1757015221635
1757015221.990678,202.3,0.54,ask,1757015221635
1757015222.0558283,202.29,3896.03,bid,1757015221697
1757015222.0558283,202.3,0.54,ask,1757015221697
1757015222.2435486,202.29,3725.3,bid,1757015221902
1757015222.2435486,202.3,0.54,ask,1757015221902
1757015222.487147,202.29,3421.99,bid,1757015222034
1757015222.487147,202.3,0.54,ask,1757015222034
1757015222.6462345,202.29,3770.95,bid,1757015222230
1757015222.6462345,202.3,0.54,ask,1757015222230
1757015222.7184775,202.29,3267.15,bid,1757015222324
1757015222.7184775,202.3,0.54,ask,1757015222324
1757015222.7691731,202.29,3279.48,bid,1757015222431
1757015222.7691731,202.3,0.54,ask,1757015222431
1757015222.8286602,202.29,2982.92,bid,1757015222522
1757015222.8286602,202.3,0.54,ask,1757015222522
1757015222.9106605,202.29,2998.51,bid,1757015222585
1757015222.9106605,202.3,0.54,ask,1757015222585
1757015223.1171143,202.29,3018.16,bid,1757015222674
1757015223.1171143,202.3,0.54,ask,1757015222674
1757015223.1540766,202.29,3004.69,bid,1757015222748
1757015223.1540766,202.3,0.54,ask,1757015222748
1757015223.1540766,202.29,3005.01,bid,1757015222826
1757015223.1540766,202.3,0.54,ask,1757015222826
1757015223.2806416,202.29,3014.58,bid,1757015222884
1757015223.2806416,202.3,0.54,ask,1757015222884
1757015223.461659,202.29,3237.97,bid,1757015223143
1757015223.461659,202.3,0.54,ask,1757015223143
1757015223.6696715,202.29,3237.97,bid,1757015223351
1757015223.6696715,202.34,1.48,ask,1757015223351
1757015223.7281609,202.33,840.58,bid,1757015223420
1757015223.7281609,202.34,1.48,ask,1757015223420
1757015223.7537777,202.33,1133.8,bid,1757015223495
1757015223.7537777,202.34,1.48,ask,1757015223495
1757015223.8390703,202.33,1145.54,bid,1757015223552
1757015223.8390703,202.34,1.48,ask,1757015223552
1757015224.0079618,202.33,2206.47,bid,1757015223698
1757015224.0079618,202.34,1.48,ask,1757015223698
1757015224.1140401,202.33,2646.8,bid,1757015223753
1757015224.1140401,202.34,1.48,ask,1757015223753
